"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"D.h",0.06703,FALSE,TRUE,FALSE,0.0159841896523767,FALSE,FALSE,0.165391298766946,FALSE,FALSE,0.112985144966737,FALSE,FALSE,0.099135745878608,FALSE,FALSE,0.0647388336733958,TRUE,FALSE,0.0436230583435837
"D.i",0.09043,FALSE,FALSE,TRUE,0.00592191148269027,FALSE,TRUE,0.00259765652143924,FALSE,FALSE,0.0520057071457385,FALSE,TRUE,0.04290819833729,FALSE,FALSE,0.39918358972471,FALSE,FALSE,0.46516530390393
"D.j",0.05228,FALSE,FALSE,TRUE,0.00185132812501543,FALSE,TRUE,0.0116347725047059,FALSE,TRUE,0.0287605166533252,FALSE,FALSE,0.10686740076398,FALSE,FALSE,0.417414925741478,FALSE,FALSE,0.782934300206765
"E.a",0.06857,FALSE,FALSE,TRUE,8.34110108340632e-56,FALSE,TRUE,5.88713708031129e-52,FALSE,TRUE,6.6127085947754e-32,FALSE,TRUE,7.20620409451575e-30,FALSE,TRUE,3.59972941605685e-10,FALSE,TRUE,1.39483555842728e-09
"E.b",0.04346,FALSE,FALSE,FALSE,0.427527950899059,FALSE,FALSE,0.152949257655454,FALSE,FALSE,0.609765306379805,FALSE,FALSE,0.464663030736896,FALSE,FALSE,0.806921661514435,FALSE,FALSE,0.766869183567563
"E.c",0.13931,FALSE,FALSE,FALSE,0.490673899066016,FALSE,FALSE,0.604730181195845,FALSE,FALSE,0.628563173508644,FALSE,FALSE,0.974814047420638,FALSE,FALSE,0.927741110879329,FALSE,FALSE,0.582272324984575
"E.d",0.05907,FALSE,FALSE,FALSE,0.26082116530733,FALSE,FALSE,0.0701235344864181,FALSE,FALSE,0.461796651349275,FALSE,FALSE,0.295388545132486,FALSE,FALSE,0.91131592499181,FALSE,FALSE,0.902009841400864
"E.e",0.20111,FALSE,FALSE,TRUE,0.00025094802614904,FALSE,TRUE,2.62993930525207e-05,FALSE,TRUE,0.00988341666998955,FALSE,TRUE,0.00330967492664827,FALSE,FALSE,0.280124416564185,FALSE,FALSE,0.258772095563948
"E.f",0.04694,FALSE,FALSE,FALSE,0.586635037116014,FALSE,FALSE,0.345371587394223,FALSE,FALSE,0.733553853340528,FALSE,FALSE,0.732389047486201,FALSE,FALSE,0.719748512676565,FALSE,FALSE,0.564399688807681
"E.g",0.09007,FALSE,FALSE,FALSE,0.890407238342554,FALSE,FALSE,0.741912851911128,FALSE,FALSE,0.931883366423594,FALSE,FALSE,0.495016813762376,FALSE,FALSE,0.607810617639611,FALSE,FALSE,0.280123611428906
